bus,PhaseA,PhaseB,PhaseC
1,0.605027037,0.245354056,0.149618907
2,0.593122405,0.261571409,0.145306186
3,0.476225122,0.369204457,0.154570421
4,0.582650989,0.280579042,0.13676997
5,0.686410606,0.177065567,0.136523827
6,0.652969479,0.202679126,0.144351395
7,0.590190444,0.262575543,0.147234013
8,0.590190444,0.262575543,0.147234013
9,0.596331483,0.25063829,0.153030227
10,0.574396189,0.244525818,0.181077993
11,0.689405608,0.168873124,0.141721268
12,0.679423143,0.179810465,0.140766392
13,0.660599644,0.196083002,0.143317354
14,0.613280508,0.23619084,0.150528651
