time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-115.6313,157.6843,-40.23808,-13.32155,53.55962
0.0001001001,1.081721,-91.95725,90.87553,-2.344201,-84.58757,86.93177,-13.77495,-65.38515,79.1601,-20.60268,-50.02114,70.62382,-18.67261,-52.20354,70.87614,-37.18341,-110.285,147.4684,-37.58133,-39.49603,77.07736
0.0002002002,0.5188451,-87.02824,86.5094,-1.521464,-82.83617,84.35764,-7.399928,-75.08341,82.48334,-15.6005,-58.81824,74.41874,-18.34803,-50.58173,68.92976,-32.4458,-104.4695,136.9153,-34.40216,-44.4692,78.87136
0.0003003003,0.8582217,-83.86244,83.00423,-0.3830407,-81.47633,81.85938,-3.682046,-79.13429,82.81634,-11.91124,-64.22036,76.13161,-17.43918,-50.21516,67.65434,-27.87011,-98.2319,126.102,-31.5748,-33.24888,64.82368
0.0004004004,1.812033,-81.86442,80.05238,1.020756,-80.5034,79.48264,-1.143577,-80.59018,81.73375,-8.974067,-67.47041,76.44447,-16.13584,-50.60732,66.74315,-23.49611,-92.63835,116.1345,-28.91453,-48.77821,77.69273
0.0005005005,3.184661,-80.6795,77.49484,2.640199,-79.90628,77.26608,0.9137064,-80.92818,80.01448,-6.476912,-69.4376,75.91451,-14.56805,-51.46444,66.03249,-19.3388,-88.33701,107.6758,-26.11383,-52.50647,78.6203
0.0006006006,4.848171,-79.97311,75.12495,4.432583,-79.50035,75.06776,2.815711,-80.8349,78.01919,-4.220745,-70.6372,74.85794,-12.82009,-52.58806,65.40815,-15.40173,-85.01126,100.413,-23.56188,-43.9698,67.53168
0.0007007007,6.716733,-79.59711,72.88038,6.361457,-79.27168,72.91022,4.708249,-80.61449,75.90624,-2.081984,-71.36694,73.44893,-10.94715,-53.842,64.78914,-11.68179,-82.56942,94.25121,-21.12873,-53.82127,74.95
0.0008008008,8.732515,-79.48125,70.74874,8.398363,-79.2293,70.83094,6.650703,-80.412,73.7613,0.01253965,-71.87028,71.85774,-8.985988,-55.15841,64.14439,-8.164008,-80.81122,88.97523,-18.57442,-57.35165,75.92608
0.0009009009,10.85468,-79.50011,68.64542,10.51955,-79.2581,68.73856,8.661761,-80.27645,71.61469,2.103745,-72.26239,70.15865,-6.961477,-56.4869,63.44838,-4.831913,-79.20808,84.03999,-16.15835,-51.34444,67.50279
0.001001001,13.05284,-79.60923,66.55639,12.70436,-79.34958,66.64522,10.74126,-80.20981,69.46854,4.21144,-72.58244,68.37099,-4.89115,-57.7868,62.67795,-1.671066,-77.69017,79.36124,-13.82224,-57.58134,71.40358
0.001101101,15.30476,-79.80099,64.49623,14.93657,-79.52088,64.58431,12.88102,-80.21088,67.32986,6.343036,-72.8892,66.54616,-2.787732,-59.04475,61.83248,1.335825,-76.32644,74.99061,-11.392,-60.65313,72.04513
0.001201201,17.59332,-80.01449,62.42117,17.20248,-79.69962,62.49715,15.07012,-80.26574,65.19562,8.499301,-73.19665,64.69735,-0.6606437,-60.24848,60.90912,4.203707,-74.96814,70.76443,-9.041118,-56.46978,65.5109
0.001301301,19.90454,-80.23069,60.32616,19.48981,-79.87844,60.38862,17.29706,-80.35266,63.0556,10.67684,-73.48845,62.81161,1.482701,-61.38371,59.901,6.943617,-73.69221,66.74859,-6.75183,-60.38588,67.13771
0.001401401,22.22745,-80.45548,58.22803,21.7888,-80.07466,58.28587,19.55087,-80.46009,60.90921,12.87031,-73.77814,60.90783,3.636267,-62.44982,58.81355,9.567293,-72.60514,63.03785,-4.399131,-62.98659,67.38572
0.001501502,24.5531,-80.65482,56.10172,24.09104,-80.24252,56.15147,21.82163,-80.57465,58.75301,15.07398,-74.06204,58.98806,5.795081,-63.44484,57.64976,12.0847,-71.5925,59.50779,-2.096914,-60.2002,62.29712
0.001601602,26.87358,-80.8177,53.94411,26.38881,-80.37531,53.98649,24.10041,-80.67989,56.57948,17.28179,-74.31965,57.03785,7.954789,-64.36272,56.40793,14.50297,-70.65379,56.15082,0.1526172,-62.68761,62.535
0.001701702,29.18242,-80.95213,51.7697,28.67579,-80.4882,51.81241,26.37925,-80.76752,54.38828,19.48786,-74.55441,55.06655,10.11149,-65.20529,55.09381,16.82964,-69.83006,53.00042,2.438704,-64.83465,62.39594
0.001801802,31.47406,-81.0381,49.56403,30.94647,-80.55259,49.60612,28.65118,-80.82924,52.17805,21.68689,-74.76247,53.07558,12.2617,-65.9733,53.7116,19.07125,-69.02627,49.95502,4.688191,-63.02562,58.33743
0.001901902,33.74338,-81.06815,47.32477,33.19563,-80.56255,47.36692,30.91002,-80.85444,49.94442,23.87392,-74.92824,51.05432,14.40218,-66.6637,52.26151,21.23225,-68.23198,46.99973,6.890012,-64.55447,57.66445
0.002002002,35.98597,-81.04942,45.06345,35.41885,-80.53031,45.11146,33.15023,-80.83799,47.68776,26.04434,-75.05273,49.00839,16.52988,-67.27829,50.74841,23.3173,-67.48655,44.16925,9.106872,-66.25823,57.15136
0.002102102,38.19797,-80.97015,42.77218,37.61226,-80.43837,42.82611,35.36693,-80.77519,45.40826,28.1941,-75.13412,46.94002,18.64195,-67.8184,49.17645,25.33039,-66.73833,41.40793,11.29329,-65.0915,53.79821
0.002202202,40.37568,-80.82482,40.44914,39.77207,-80.28147,40.5094,37.55573,-80.65952,43.10379,30.31944,-75.16179,44.84235,20.73568,-68.28239,47.54671,27.27412,-65.98129,38.70716,13.43457,-65.94377,52.5092
0.002302302,42.51583,-80.61913,38.1033,41.89498,-80.06904,38.17406,39.71263,-80.48788,40.77526,32.41686,-75.13595,42.71909,22.80847,-68.67158,45.86311,29.15107,-65.2471,36.09602,15.57395,-67.24168,51.66773
0.002402402,44.61547,-80.34652,35.73105,43.97803,-79.79089,35.81286,41.83404,-80.25787,38.42383,34.48326,-75.0564,40.57314,24.85783,-68.98731,44.12948,30.96358,-64.50328,33.5397,17.68478,-66.47647,48.79169
0.002502502,46.67172,-80.00272,33.331,46.0183,-79.44231,33.424,43.91668,-79.96559,36.04891,36.51572,-74.91623,38.40051,26.88137,-69.22872,42.34735,32.71298,-63.73843,31.02545,19.751,-66.84052,47.08952
0.002602603,48.68199,-79.59215,30.91015,48.01319,-79.03045,31.01726,45.95752,-79.6093,33.65178,38.51153,-74.71532,36.2038,28.87679,-69.39673,40.51994,34.40066,-62.97334,28.57268,21.80178,-67.76443,45.96265
0.002702703,50.64388,-79.11168,28.4678,49.9603,-78.55012,28.58982,47.95377,-79.18794,31.23417,40.46816,-74.4544,33.98624,30.84187,-69.49259,38.65073,36.02786,-62.18856,26.16071,23.82346,-67.24617,43.42271
0.002802803,52.55503,-78.55802,26.00299,51.85727,-77.99718,26.13991,49.90284,-78.6994,28.79657,42.38328,-74.12927,31.74599,32.77444,-69.51597,36.74153,37.5952,-61.37169,23.77649,25.80011,-67.22382,41.42371
0.002902903,54.4133,-77.93445,23.52115,53.70195,-77.37685,23.67491,51.80231,-78.14278,26.34047,44.25465,-73.73955,29.4849,34.67246,-69.4675,34.79504,39.10327,-60.53756,21.43428,27.75019,-67.7953,40.04512
0.003003003,56.21663,-77.24013,21.02349,55.49231,-76.68731,21.195,53.64991,-77.51788,23.86796,46.08017,-73.28643,27.20626,36.53389,-69.34831,32.81443,40.55265,-59.67739,19.12475,29.6687,-67.4148,37.74611
0.003103103,57.96311,-76.47277,18.50966,57.22643,-75.92529,18.69886,55.44355,-76.82384,21.38028,47.8579,-72.76778,24.90988,38.3568,-69.15855,30.80175,41.94354,-58.78014,16.8366,31.54151,-67.08881,35.54729
0.003203203,59.65084,-75.63457,15.98372,58.90242,-75.09421,16.19179,57.18121,-76.06027,18.87906,49.58592,-72.18301,22.59709,40.13932,-68.89866,28.75933,43.27603,-57.85504,14.57901,33.37836,-67.31662,33.93826
0.003303303,61.27808,-74.72623,13.44815,60.51855,-74.19455,13.676,58.86095,-75.22754,16.36658,51.26243,-71.53352,20.27109,41.8796,-68.56966,26.69006,44.55026,-56.90022,12.34996,35.17996,-66.98888,31.80892
0.003403403,62.84322,-73.74648,10.90326,62.07325,-73.22409,11.15084,60.48108,-74.32569,13.84461,52.88579,-70.81866,17.93288,43.57594,-68.17213,24.59619,45.76625,-55.90631,10.14007,36.93492,-66.43971,29.5048
0.003503504,64.34458,-72.69663,8.352053,63.56484,-72.1848,8.619965,62.03982,-73.35473,11.31491,54.4543,-70.03789,15.58358,45.22658,-67.7064,22.47982,46.92376,-54.87767,7.95391,38.64633,-66.31651,27.67018
0.003603604,65.78069,-71.57834,5.797646,64.99185,-71.07852,6.086666,63.53559,-72.31541,8.77982,55.96643,-69.19254,13.22611,46.82989,-67.17349,20.3436,48.02273,-53.81641,5.793682,40.31771,-65.95389,25.63618
0.003703704,67.15022,-70.39131,3.241091,66.353,-69.90424,3.551248,64.96695,-71.2084,6.241445,57.42079,-68.28307,10.86228,48.38437,-66.57426,18.18989,49.06307,-52.71608,3.653014,41.94121,-65.27066,23.32944
0.003803804,68.45169,-69.13638,0.6846892,67.6468,-68.66297,1.016175,66.33237,-70.0341,3.701726,58.81588,-67.30923,8.493355,49.88839,-65.90913,16.02074,50.04443,-51.57753,1.533106,43.51555,-64.81212,21.29657
0.003903904,69.68392,-67.81555,-1.868367,68.87209,-67.35707,-1.51501,67.63058,-68.79355,1.162964,60.15042,-66.27221,6.121797,51.34057,-65.17915,13.83858,50.96664,-50.40446,-0.5621879,45.04438,-64.33932,19.29494
0.004004004,70.84566,-66.42937,-4.416286,70.02763,-65.98666,-4.040969,68.86025,-67.48772,-1.372538,61.4231,-65.17303,3.74993,52.73946,-64.38522,11.64576,51.82949,-49.1937,-2.635794,46.52353,-63.55891,17.03537
0.004104104,71.93583,-64.97868,-6.957155,71.11237,-64.55244,-6.55993,70.02023,-66.11755,-3.902688,62.63277,-64.01206,1.379283,54.08374,-63.52814,9.444402,52.63272,-47.94415,-4.688568,47.94955,-62.81856,14.869
0.004204204,72.95334,-63.46534,-9.487999,72.12522,-63.05662,-9.068605,71.10935,-64.68414,-6.425222,63.77826,-62.79025,-0.9880118,55.3721,-62.60884,7.236735,53.37606,-46.65923,-6.716834,49.32468,-62.1615,12.83682
0.004304304,73.89725,-61.89074,-12.00651,73.06526,-61.50041,-11.56485,72.12661,-63.18884,-8.93777,64.85851,-61.50903,-3.349481,56.60334,-61.62844,5.025107,54.05935,-45.33863,-8.720721,50.64766,-61.29213,10.64446
0.004404404,74.76665,-60.25584,-14.51082,73.93161,-59.88454,-14.04707,73.07104,-61.63292,-11.43812,65.87254,-60.16927,-5.703276,57.77628,-60.58794,2.811661,54.68237,-43.98081,-10.70157,51.91474,-60.33875,8.424002
0.004504505,75.56075,-58.56242,-16.99834,74.72345,-58.21095,-16.5125,73.94175,-60.01771,-13.92404,66.81943,-58.77198,-8.04745,58.88984,-59.48837,0.5985353,55.24493,-42.58804,-12.65689,53.12634,-59.46524,6.338911
0.004604605,76.27874,-56.81227,-19.46647,75.43999,-56.48147,-18.95852,74.73787,-58.3447,-16.39317,67.69823,-57.31865,-10.37959,59.94291,-58.33091,-1.612002,55.74683,-41.16181,-14.58502,54.28271,-58.4818,4.199083
0.004704705,76.92001,-55.00673,-21.91328,76.08066,-54.6972,-21.38346,75.45872,-56.61548,-18.84323,68.50823,-55.81062,-12.69762,60.93458,-57.11679,-3.817786,56.18801,-39.70118,-16.48683,55.38095,-57.36557,1.984611
0.004804805,77.48392,-53.14751,-24.33642,76.64481,-52.85989,-23.78492,76.1036,-54.83157,-21.27203,69.24866,-54.24903,-14.99964,61.86389,-55.84716,-6.016732,56.56832,-38.20753,-18.36079,56.42026,-56.29153,-0.1287284
0.004904905,77.96994,-51.23663,-26.7333,77.1319,-50.97166,-26.16023,76.67188,-52.99465,-23.67723,69.91882,-52.63548,-17.28334,62.72995,-54.52331,-8.206644,56.88768,-36.68301,-20.20466,57.40127,-55.15885,-2.242422
0.005005005,78.37769,-49.27577,-29.10192,77.54158,-49.034,-28.50758,77.16313,-51.10653,-26.0566,70.51818,-50.97157,-19.54662,63.53204,-53.14665,-10.38539,57.14612,-35.1275,-22.01863,58.32199,-53.90543,-4.41656
0.005105105,78.70673,-47.2667,-31.44003,77.87341,-47.04866,-30.82474,77.57682,-49.1689,-28.40792,71.04614,-49.25864,-21.7875,64.26936,-51.71845,-12.55091,57.3436,-33.54208,-23.80152,59.18129,-52.64949,-6.531799
